Carrefour Feux tricolores,Mouvement directionnel autorisé,ville,code_postal,Extracted street names,Second street names,Street 1,Street 2
"Intersection de l'avenue des
Îles avec le boulevard du Fier","Mouvement de tourne à droite pour les cycles circulant avenue des Îles  vers
le boulevard du Fier",Annecy,74000,avenue des Îles,boulevard du Fier,"['Avenue des Îles, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.915827, 6.1123464)]","['Boulevard du Fier, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9161667, 6.1160288)]"
"Intersection de la rue du
Cimetière des Îles avec le
boulevard du Fier","Mouvement de tourne à droite pour les cycles circulant boulevard du Fier
vers la rue du Cimetière des Îles",Annecy,74000,rue du Cimetière,boulevard du Fier,"['Rue des Clefs, Pecherat, Les Clefs, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74230, France', (45.8606819, 6.3286235)]","['Boulevard du Fier, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9161667, 6.1160288)]"
"Intersection de la rue du
Cimetière des Îles avec le
boulevard du Fier","Mouvement de tourne à droite pour les cycles circulant rue du Cimetière des
Îles vers le boulevard du Fier",Annecy,74000,rue du Cimetière,boulevard du Fier,"['Rue des Clefs, Pecherat, Les Clefs, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74230, France', (45.8606819, 6.3286235)]","['Boulevard du Fier, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9161667, 6.1160288)]"
"Intersection de la rue
Maréchal Leclerc avec du
boulevard du Fier","Mouvement de tourne à droite pour les cycles circulant rue du Maréchal
Leclerc vers le boulevard du Fier",Annecy,74000,rue Maréchal Leclerc,boulevard du Fier,"['Rue Maréchal Leclerc, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9131915, 6.1215172)]","['Boulevard du Fier, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9161667, 6.1160288)]"
"Intersection de la rue
Maréchal Leclerc avec du
boulevard du Fier","Mouvement de tourne à droite pour les cycles circulant boulevard du Fier
vers la rue du Maréchal Leclerc",Annecy,74000,rue Maréchal Leclerc,boulevard du Fier,"['Rue Maréchal Leclerc, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9131915, 6.1215172)]","['Boulevard du Fier, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9161667, 6.1160288)]"
"Intersection de la rue Marius
Vallin avec le boulevard du
Fier","Mouvement de tourne à droite pour les cycles  circulant boulevard du Fier
vers la rue Marius Vallin",Annecy,74000,rue Marius Vallin,boulevard du Fier,"['Rue Marius Vallin, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.919896, 6.1234396)]","['Boulevard du Fier, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9161667, 6.1160288)]"
"Intersection de la rue Marius
Vallin avec le boulevard du
Fier","Mouvement direct à l'intersection du boulevard du Fier avec la rue Marius
Vallin pour les cyclistes circulant boulevard du Fier dans le sens Nord/Sud",Annecy,74000,rue Marius Vallin,boulevard du Fier,"['Rue Marius Vallin, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.919896, 6.1234396)]","['Boulevard du Fier, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9161667, 6.1160288)]"
"Intersection de la rue Marius
Vallin avec le boulevard du
Fier","Mouvement de tourne à droite pour les cycles circulant rue Marius Vallin
vers le boulevard du Fier",Annecy,74000,rue Marius Vallin,boulevard du Fier,"['Rue Marius Vallin, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.919896, 6.1234396)]","['Boulevard du Fier, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9161667, 6.1160288)]"
"Intersection de la rue Marius
Vallin avec le boulevard du
Fier","Mouvement de tourne à droite pour les cycles circulant rue Lucie Aubrac
vers l'avenue de Genève dans le sens Ouest/Sud",Annecy,74000,rue Marius Vallin,boulevard du Fier,"['Rue Marius Vallin, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.919896, 6.1234396)]","['Boulevard du Fier, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9161667, 6.1160288)]"
"Intersection de l'avenue de
Genève avec la rue Lucie
Aubrac et le boulevard
Bellevue","Mouvement de tourne à droite pour les cycles circulant avenue de Genève
vers la rue Lucie Aubrac",Annecy,74000,avenue de Genève,rue Lucie Aubrac,"['Avenue de Genève, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9097803, 6.1237993)]","['Rue Lucie Aubrac, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9194913, 6.1219496)]"
"Intersection de l'avenue de
Genève avec la rue Lucie
Aubrac et le boulevard
Bellevue","Mouvement de tourne à droite pour les cycles circulant boulevard Bellevue
vers l'avenue de Genève dans le sens Est/Nord",Annecy,74000,avenue de Genève,rue Lucie Aubrac,"['Avenue de Genève, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9097803, 6.1237993)]","['Rue Lucie Aubrac, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9194913, 6.1219496)]"
"Intersection de l'avenue de
Genève avec la rue Lucie
Aubrac et le boulevard
Bellevue","Mouvement de tourne à droite pour les cycles circulant avenue de Genève
vers le boulevard Bellevue",Annecy,74000,avenue de Genève,rue Lucie Aubrac,"['Avenue de Genève, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9097803, 6.1237993)]","['Rue Lucie Aubrac, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9194913, 6.1219496)]"
"Intersection de l'avenue de
Genève avec le chemin des
Carrières","Mouvement direct à l'intersection entre l'avenue de Genève et le chemin
des Carrières pour les cyclistes circulant avenue de Genève dans le sens
Sud/Nord",Annecy,74000,avenue de Genève,No match found,"['Avenue de Genève, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9097803, 6.1237993)]",
"Intersection de l'avenue de
Brogny avec la rue Jacqueline
Auriol","Mouvement direct à l'intersection de l'avenue de Brogny et de la rue
Jacqueline Auriol pour les cycles circulant dans les deux sens",Annecy,74000,avenue de Brogny,rue Jacqueline Auriol,"['Annecy, Avenue de Brogny, Les Balmettes, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.90204355, 6.12179444611825)]","['Rue Jacqueline Auriol, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9229999, 6.1310383)]"
"Intersection de l'avenue de
Brogny avec la rue Jacqueline
Auriol","Mouvement direct rue Jacqueline Auriol au droit de la bretelle d'accès à la
RD 1201 pour les cycles circulant rue Jacqueline Auriol dans les deux sens",Annecy,74000,avenue de Brogny,rue Jacqueline Auriol,"['Annecy, Avenue de Brogny, Les Balmettes, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.90204355, 6.12179444611825)]","['Rue Jacqueline Auriol, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9229999, 6.1310383)]"
"Intersection de l'avenue de
Brogny avec la rue Jacqueline
Auriol","Mouvement  de tourne à gauche et de tourne à droite pour les cycles
circulant avenue de Brogny vers la rue Jacqueline Auriol en direction de l'Est
ou de l'Ouest",Annecy,74000,avenue de Brogny,rue Jacqueline Auriol,"['Annecy, Avenue de Brogny, Les Balmettes, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.90204355, 6.12179444611825)]","['Rue Jacqueline Auriol, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9229999, 6.1310383)]"
"Intersection de l'avenue de
Brogny avec la rue Jacqueline
Auriol","Mouvement de tourne à gauche pour les cycles circulant rue Jacqueline
Auriol vers l'avenue de Brogny en direction du Sud",Annecy,74000,avenue de Brogny,rue Jacqueline Auriol,"['Annecy, Avenue de Brogny, Les Balmettes, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.90204355, 6.12179444611825)]","['Rue Jacqueline Auriol, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9229999, 6.1310383)]"
"Intersection de l'avenue de
Brogny avec la rue Jacqueline
Auriol","Mouvement direct au nord de l'avenue de Brogny pour les cycles circulant
dans le sens Nord/Sud",Annecy,74000,avenue de Brogny,rue Jacqueline Auriol,"['Annecy, Avenue de Brogny, Les Balmettes, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.90204355, 6.12179444611825)]","['Rue Jacqueline Auriol, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9229999, 6.1310383)]"
"Intersection de la rue de
Frontenex avec la rue Marc
Leroux","Mouvement direct à l'intersection de la rue Marc Leroux avec la rue de
Frontenex pour les cyclistes circulant rue Marc Leroux dans le sens Ouest/Est",Annecy,74000,rue de Frontenex,rue Marc Leroux,"['Rue de Frontenex, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.915427, 6.126038)]","['Rue Marc Leroux, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9153183, 6.1262858)]"
"Intersection de la rue de
Frontenex avec la rue Marc
Leroux","Mouvement de tourne à droite pour les cycles circulant rue de Frontenex
vers la rue Marc Leroux",Annecy,74000,rue de Frontenex,rue Marc Leroux,"['Rue de Frontenex, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.915427, 6.126038)]","['Rue Marc Leroux, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9153183, 6.1262858)]"
"Intersection de la rue Marc
Leroux avec l'avenue de
Brogny","Mouvement direct à l'intersection de l'avenue de Brogny avec la rue Marc
Leroux pour les cyclistes circulant avenue de Brogny dans le sens Nord/Sud",Annecy,74000,rue Marc Leroux,avenue de Brogny,"['Rue Marc Leroux, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9153183, 6.1262858)]","['Annecy, Avenue de Brogny, Les Balmettes, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.90204355, 6.12179444611825)]"
"Intersection de la rue Marc
Leroux avec l'avenue de
Brogny","Mouvement de tourne à droite pour les cycles circulant avenue de Brogny
vers la rue Marc Leroux",Annecy,74000,rue Marc Leroux,avenue de Brogny,"['Rue Marc Leroux, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9153183, 6.1262858)]","['Annecy, Avenue de Brogny, Les Balmettes, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.90204355, 6.12179444611825)]"
"Intersection de l'avenue de
Novel avec l'avenue de France","Mouvement de tourne à droite pour les cycles circulant avenue de France
vers l'avenue de Novel, dans les deux sens",Annecy,74000,avenue de Novel,avenue de France,"['Avenue de Novel, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.913921, 6.1283601)]","['Avenue de France, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9187161, 6.1322021)]"
"Intersection de l'avenue de
Novel avec l'avenue de France","Mouvement de tourne à droite pour les cycles circulant avenue de Novel
vers l'avenue de France, dans les deux sens",Annecy,74000,avenue de Novel,avenue de France,"['Avenue de Novel, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.913921, 6.1283601)]","['Avenue de France, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9187161, 6.1322021)]"
"Intersection du boulevard de
la Rocade avec l'avenue des
Îles","Mouvement de tourne à droite pour les cycles circulant boulevard de la
Rocade vers l'avenue des Îles, dans les deux sens",Annecy,74000,boulevard de la,avenue des Îles,,"['Avenue des Îles, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.915827, 6.1123464)]"
"Intersection du boulevard de
la Rocade avec l'avenue des
Îles","Mouvement de tourne à droite pour les cycles circulant avenue des Îles vers
le boulevard de la Rocade, dans les deux sens",Annecy,74000,boulevard de la,avenue des Îles,,"['Avenue des Îles, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.915827, 6.1123464)]"
"Intersection du boulevard de
la Rocade avec l'avenue des
Romains","Mouvement de tourne à droite pour les cycles circulant boulevard de la
Rocade vers l'avenue des Romains, dans les deux sens",Annecy,74000,boulevard de la,avenue des Romains,,"['Avenue des Romains, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9082109, 6.1225437)]"
"Intersection du boulevard de
la Rocade avec l'avenue des
Romains","Mouvement de tourne à droite pour les cycles circulant avenue des
Romains vers le boulevard de la Rocade, dans les deux sens",Annecy,74000,boulevard de la,avenue des Romains,,"['Avenue des Romains, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9082109, 6.1225437)]"
"Intersection du boulevard de
la Rocade avec l'avenue du
Parc des Sports","Mouvement de tourne à droite pour les cycles circulant avenue du Parc des
Sports vers le boulevard de la Rocade, dans les deux sens",Annecy,74000,boulevard de la,avenue du Parc,,"['Carrefour City, 27, Avenue du Parc des Sports, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9118146, 6.1212815)]"
"Intersection du boulevard de
la Rocade avec l'avenue du
Parc des Sports","Mouvement de tourne à droite pour les cycles circulant boulevard de la
Rocade vers l'avenue du Parc des Sports, dans les deux sens",Annecy,74000,boulevard de la,avenue du Parc,,"['Carrefour City, 27, Avenue du Parc des Sports, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9118146, 6.1212815)]"
"Intersection de la rue Carnot
avec l'avenue de Genève, le
boulevard du Lycée et le
boulevard Decouz","Mouvement de tourne à droite pour les cycles circulant boulevard Decouz
vers la rue Carnot",Annecy,74000,rue Carnot avec,"avenue de Genève,",,"['Avenue de Genève, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9097803, 6.1237993)]"
"Intersection de la rue Carnot
avec l'avenue de Genève, le
boulevard du Lycée et le
boulevard Decouz","Mouvement de tourne à droite pour les cycles circulant rue Carnot vers le
boulevard du Lycée",Annecy,74000,rue Carnot avec,"avenue de Genève,",,"['Avenue de Genève, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9097803, 6.1237993)]"
"Intersection de la rue Carnot
avec l'avenue de Genève, le
boulevard du Lycée et le
boulevard Decouz","Mouvement de tourne à droite pour les cycles circulant boulevard du Lycée
vers l'avenue de Genève",Annecy,74000,rue Carnot avec,"avenue de Genève,",,"['Avenue de Genève, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9097803, 6.1237993)]"
"Intersection de la rue Carnot
avec l'avenue de Genève, le
boulevard du Lycée et le
boulevard Decouz","Mouvement de tourne à droite pour les cycles circulant avenue de Genève
vers le boulevard Decouz",Annecy,74000,rue Carnot avec,"avenue de Genève,",,"['Avenue de Genève, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.9097803, 6.1237993)]"
"Intersection de l'avenue de
Loverchy avec la rue de la Cité","Mouvement de tourne à droite pour les cycles circulant avenue des Trois
Fontaines vers la rue de la Cité",Annecy,74000,avenue de Loverchy,rue de la,"['Avenue de Loverchy, Les Balmettes, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.8954267, 6.1195871)]","[""Déchèterie d'Annecy-le-Vieux, Rue de la Frasse, Les Éculées, Annecy-le-Vieux, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74940, France"", (45.929176299999995, 6.153605575924469)]"
"Intersection de l'avenue de
Loverchy avec la rue de la Cité","Mouvement de tourne à droite pour les cycles circulant rue de la Cité vers
l'avenue de Loverchy",Annecy,74000,avenue de Loverchy,rue de la,"['Avenue de Loverchy, Les Balmettes, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.8954267, 6.1195871)]","[""Déchèterie d'Annecy-le-Vieux, Rue de la Frasse, Les Éculées, Annecy-le-Vieux, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74940, France"", (45.929176299999995, 6.153605575924469)]"
"Intersection de l'avenue de
Loverchy avec la rue de la Cité","Mouvement direct à l'intersection de l'avenue de Loverchy avec la rue de la
Cité pour les cycles circulant avenue des Trois Fontaines dans le sens
Nord/Sud",Annecy,74000,avenue de Loverchy,rue de la,"['Avenue de Loverchy, Les Balmettes, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.8954267, 6.1195871)]","[""Déchèterie d'Annecy-le-Vieux, Rue de la Frasse, Les Éculées, Annecy-le-Vieux, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74940, France"", (45.929176299999995, 6.153605575924469)]"
"Intersection de l'avenue de
Loverchy avec le chemin de la
Croix Rouge","Mouvement direct à l'intersection de l'avenue de Loverchy avec la rue de la
Croix Rouge pour les cyclistes circulant avenue de Loverchy dans le sens
Sud/Nord",Annecy,74000,avenue de Loverchy,No match found,"['Avenue de Loverchy, Les Balmettes, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.8954267, 6.1195871)]",
"Intersection de l'avenue de
Loverchy avec le chemin de la
Croix Rouge","Mouvement de tourne à droite pour les cycles circulant chemin de la Croix
Rouge vers l'avenue de Loverchy",Annecy,74000,avenue de Loverchy,No match found,"['Avenue de Loverchy, Les Balmettes, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.8954267, 6.1195871)]",
"Intersection de l'avenue de
Loverchy avec le chemin de la
Croix Rouge","Mouvement de tourne à droite pour les cycles circulant avenue de Loverchy
vers le chemin de la Croix Rouge",Annecy,74000,avenue de Loverchy,No match found,"['Avenue de Loverchy, Les Balmettes, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.8954267, 6.1195871)]",
"Intersection de l'avenue de
Loverchy avec la rue du Travail","Mouvement de tourne à droite pour les cycles circulant avenue de Loverchy
vers la rue du Travail, dans les deux sens",Annecy,74000,avenue de Loverchy,rue du Travail,"['Avenue de Loverchy, Les Balmettes, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.8954267, 6.1195871)]","['Rue du Travail, Les Balmettes, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.8952264, 6.1186699)]"
"Intersection de l'avenue de
Loverchy avec l'avenue du
Rhône et l'avenue Lucien
Boschetti","Mouvement de tourne à droite pour les cycles circulant avenue du Rhône
vers l'avenue de Loverchy",Annecy,74000,avenue de Loverchy,avenue du Rhône,"['Avenue de Loverchy, Les Balmettes, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.8954267, 6.1195871)]","['Avenue du Rhône, Les Balmettes, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.8985608, 6.118556)]"
"Intersection de l'avenue de
Loverchy avec l'avenue du
Rhône et l'avenue Lucien
Boschetti","Mouvement de tourne à droite pour les cycles circulant avenue Lucien
Boschetti vers l'avenue de Loverchy",Annecy,74000,avenue de Loverchy,avenue du Rhône,"['Avenue de Loverchy, Les Balmettes, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.8954267, 6.1195871)]","['Avenue du Rhône, Les Balmettes, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.8985608, 6.118556)]"
"Intersection de l'avenue de
Loverchy avec l'avenue du
Rhône et l'avenue Lucien
Boschetti","Mouvement de tourne à droite pour les cycles circulant avenue Loverchy
vers l'avenue Lucien Boschetti",Annecy,74000,avenue de Loverchy,avenue du Rhône,"['Avenue de Loverchy, Les Balmettes, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.8954267, 6.1195871)]","['Avenue du Rhône, Les Balmettes, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.8985608, 6.118556)]"
"Intersection de l'avenue de
Loverchy avec l'avenue du
Rhône et l'avenue Lucien
Boschetti","Mouvement de tourne à droite pour les cycles circulant avenue de Loverchy
vers l'avenue du Rhône",Annecy,74000,avenue de Loverchy,avenue du Rhône,"['Avenue de Loverchy, Les Balmettes, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.8954267, 6.1195871)]","['Avenue du Rhône, Les Balmettes, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.8985608, 6.118556)]"
"Intersection de la rue des
Marquisats avec le chemin de
Tillier","Mouvement de tourne à droite pour les cycles circulant rue des Marquisats
vers le chemin de Tillier",Annecy,74000,rue des Marquisats,No match found,"['Rue des Marquisats, Les Balmettes, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.8980992, 6.1290471)]",
"Intersection de la rue des
Marquisats avec le chemin de
Tillier","Mouvement de tourne à droite pour les cycles circulant chemin de Tillier
vers la rue des Marquisats",Annecy,74000,rue des Marquisats,No match found,"['Rue des Marquisats, Les Balmettes, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.8980992, 6.1290471)]",
"Intersection de la rue des
Marquisats avec le chemin de
Tillier","Mouvement de tourne à droite pour les cycles circulant rue des Marquisats
vers la piste cyclable",Annecy,74000,rue des Marquisats,No match found,"['Rue des Marquisats, Les Balmettes, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.8980992, 6.1290471)]",
"Intersection de la rue des
Marquisats avec le chemin de
Tillier","Mouvement de tourne à droite pour les cycles circulant de la piste cyclable
vers la rue des Marquisats",Annecy,74000,rue des Marquisats,No match found,"['Rue des Marquisats, Les Balmettes, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.8980992, 6.1290471)]",
"Intersection du quai Eustache
Chappuis avec la rue du Lac et
la rue Joseph Blanc","Mouvement de tourne à droite pour les cycles circulant quai Eustache
Chappuis vers la rue du Lac",Annecy,74000,rue du Lac,rue Joseph Blanc,"['Rue du Lac, Les Balmettes, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.900394, 6.1267607)]","['Rue Joseph Blanc, Les Balmettes, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.8993039, 6.1268592)]"
"Intersection du quai Eustache
Chappuis avec la rue du Lac et
la rue Joseph Blanc","Mouvement de tourne à droite pour les cycles circulant rue du Lac vers le
quai Eustache Chappuis",Annecy,74000,rue du Lac,rue Joseph Blanc,"['Rue du Lac, Les Balmettes, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.900394, 6.1267607)]","['Rue Joseph Blanc, Les Balmettes, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74000, France', (45.8993039, 6.1268592)]"
